○香川渓一郎;渡辺毅;西浦廉政,連立Cahn-Hilliard方程式系の自由エネルギー風景の大域的探索,日本数学会2025年度年会,2025,2025,0,0
香川渓一郎,毛包の形態形成に対する数理モデルからのアプローチ,学術変革領域研究(A)マルチモダルECM若手の会2025,2025,2025,0,0
○香川渓一郎;奥村真善美;小林康明;Wuergezhen Duligengaowa;森田梨津子;藤原裕展;長山雅晴,数理皮膚科学の展開 - 器官形成（毛包） -,2024年度応用数学合同研究集会,2024,2024,0,0
○香川渓一郎;奥村真善美;小林康明;Wuergezhen Duligengaowa;森田梨津子;藤原裕展;長山雅晴,毛包形態形成を再現する数理モデル,第18回応用数理研究会,2024,2024,0,0
香川渓一郎,細胞と細胞外環境を統合した数理モデルに基づく毛包形態形成メカニズムの探究,2024年度バイオメカニクス研究会,2024,2024,1,0
香川渓一郎,動的境界条件下での1次元Cahn-Hilliard方程式の解の挙動,日本応用数理学会2024年度年会,2024,2024,0,0
○香川渓一郎;奥村真善美;小林康明;Wuergezhen Duligengaowa;森田梨津子;藤原裕展;長山雅晴,細胞周期と細胞外環境を制御する数値シミュレーションに基づく毛包形態形成の再現,日本応用数理学会2024年度年会,2024,2024,0,0
Keiichiro Kagawa,Exploration of the mechanism of hair follicle morphogenesis based on a mathematical model integrating ECM and multicellularity,The 56th Annual Meeting of the Japanese Society for Matrix Biology and Medicine (第56回日本結合組織学会学術大会,2024,2024,1,1
○香川渓一郎;大谷光春,Viscous Cahn-Hilliard方程式からCahn-Hilliard方程式への接近,第26回応用解析研究会シンポジウム,2019,2019,0,0
○香川渓一郎;大谷光春,Initial boundary value problem of the viscous Cahn-Hilliard equation,日本数学会2018年度秋季総合分科会,2018,2018,0,0
○香川渓一郎;大谷光春,viscous Cahn-Hilliard 方程式の大域解の存在,第40回発展方程式若手セミナー,2018,2018,0,0
○Keiichiro KAGAWA and Mitsuharu -TANI,On the existence of the global solutions of the viscous Cahn-Hilliard equation,"The 12th AIMS Conference on Dynamical Systems, Differential Equations and Applications",2018,2018,1,1
○香川渓一郎;大谷光春,On the global solutions of the viscous Cahn-Hilliard equation,第25回応用解析研究会シンポジウム,2018,2018,0,0
